Drug,Protein
DB00014,P30968
DB00014,P22888
DB00035,P37288
DB00035,P47901
DB00035,P30518
DB00091,P30405
DB00091,P49069
DB00091,Q96LZ3
DB00091,P62937
DB00122,Q13393
DB00122,Q8TCT1
DB00122,P49585
DB00122,P06276
DB00122,O14939
DB00122,Q9Y5K3
DB00122,P22303
DB00122,P36544
DB00126,Q9NVH6
DB00126,Q8IVL5
DB00126,P09172
DB00126,O75936
DB00126,Q9BY66
DB00126,Q9NXG6
DB00126,Q6NS38
DB00126,P19021
DB00126,O00469
DB00126,Q8IVL6
DB00126,Q96Q83
DB00126,Q8N543
DB00126,Q6N063
DB00126,Q9H6Z9
DB00126,P13674
DB00126,Q9GZT9
DB00126,O60568
DB00126,O14832
DB00126,Q32P28
DB00126,Q02809
DB00126,Q96KS0
DB00131,Q9NR19
DB00131,Q07343
DB00131,P33121
DB00131,P16220
DB00131,Q9Y478
DB00131,Q08828
DB00131,P49773
DB00131,P09467
DB00131,Q13131
DB00131,Q08499
DB00131,P55263
DB00136,P31260
DB00136,P11473
DB00140,Q969G6
DB00140,P30043
DB00141,P15291
DB00141,Q9UJ70
DB00141,P54802
DB00141,O60513
DB00141,P51606
DB00141,Q9UK23
DB00146,P11473
DB00152,Q9H3S4
DB00153,Q06432
DB00153,P11473
DB00158,P41439
DB00158,P15328
DB00158,P14207
DB00159,P35354
DB00159,P23219
DB00159,Q07869
DB00159,O14842
DB00159,O60488
DB00159,O60427
DB00159,P37231
DB00159,Q8NER1
DB00159,P32418
DB00159,Q03181
DB00162,P41222
DB00162,Q8TC12
DB00162,Q9BTZ2
DB00162,Q96NR8
DB00162,P00352
DB00162,Q9NYR8
DB00162,P05090
DB00162,O94788
DB00162,Q9HBH5
DB00162,P47895
DB00162,Q92781
DB00162,Q8NBN7
DB00162,O95237
DB00162,O75911
DB00162,Q6NUM9
DB00163,O75469
DB00163,P62714
DB00163,P17252
DB00163,P09917
DB00163,P67775
DB00163,Q9UDX4
DB00163,P05771
