Drug,Disease,,,,,,,,D114480
DB00014,D114480,,,,,,,,D131200
DB00014,D131200,,,,,,,,D176807
DB00014,D176807,,,,,,,,D601518
DB00014,D601518,,,,,,,,D125700
DB00035,D125700,,,,,,,,D134430
DB00035,D134430,,,,,,,,D134500
DB00035,D134500,,,,,,,,D193400
DB00035,D193400,,,,,,,,D277480
DB00035,D277480,,,,,,,,D304900
DB00035,D304900,,,,,,,,D152700
DB00091,D152700,,,,,,,,D254200
DB00091,D254200,,,,,,,,D140600
DB00122,D140600,,,,,,,,D147530
DB00122,D147530,,,,,,,,D165720
DB00122,D165720,,,,,,,,D208230
DB00122,D208230,,,,,,,,D607459
DB00122,D607459,,,,,,,,D607850
DB00122,D607850,,,,,,,,D206200
DB00126,D206200,,,,,,,,D250790
DB00126,D250790,,,,,,,,D194200
DB00131,D194200,,,,,,,,D146200
DB00136,D146200,,,,,,,,D146255
DB00136,D146255,,,,,,,,D166710
DB00136,D166710,,,,,,,,D264700
DB00136,D264700,,,,,,,,D277440
DB00136,D277440,,,,,,,,D277460
DB00136,D277460,,,,,,,,D307700
DB00136,D307700,,,,,,,,D600081
DB00136,D600081,,,,,,,,D145590
DB00140,D145590,,,,,,,,D277730
DB00141,D140600,,,,,,,,D134600
DB00141,D165720,,,,,,,,D241519
DB00141,D607850,,,,,,,,D259660
DB00146,D146200,,,,,,,,D261100
DB00146,D166710,,,,,,,,D219700
DB00146,D264700,,,,,,,,D115300
DB00146,D277440,,,,,,,,D277350
DB00146,D307700,,,,,,,,D104300
DB00146,D600081,,,,,,,,D104310
DB00152,D277730,,,,,,,,D125320
DB00153,D134600,,,,,,,,D200170
DB00153,D146200,,,,,,,,D230450
DB00153,D146255,,,,,,,,D231900
DB00153,D166710,,,,,,,,D266120
DB00153,D241519,,,,,,,,D605055
DB00153,D259660,,,,,,,,D606703
DB00153,D264700,,,,,,,,D606889
DB00153,D277440,,,,,,,,D607822
DB00153,D307700,,,,,,,,D608907
DB00153,D600081,,,,,,,,D239350
DB00158,D261100,,,,,,,,D102500
DB00159,D219700,,,,,,,,D266600
DB00162,D115300,,,,,,,,D144010
DB00162,D277350,,,,,,,,D601367
DB00163,D104300,,,,,,,,D164230
DB00163,D104310,,,,,,,,D161900
DB00163,D125320,,,,,,,,D608622
DB00163,D200170,,,,,,,,D233100
DB00163,D230450,,,,,,,,D106400
DB00163,D231900,,,,,,,,D208550
DB00163,D266120,,,,,,,,D600807
DB00163,D277460,,,,,,,,D126200
DB00163,D605055,,,,,,,,D128101
DB00163,D606703,,,,,,,,D143100
DB00163,D606889,,,,,,,,D189600
DB00163,D607822,,,,,,,,D190400
DB00163,D608907,,,,,,,,D601042
DB00165,D239350,,,,,,,,D607225
DB00169,D102500,,,,,,,,D143465
DB00169,D146200,,,,,,,,D161400
DB00169,D166710,,,,,,,,D252320
DB00169,D264700,,,,,,,,D254500
DB00169,D266600,,,,,,,,D102300
DB00169,D277440,,,,,,,,D168100
DB00169,D307700,,,,,,,,D168600
DB00169,D600081,,,,,,,,D264120
DB00175,D144010,,,,,,,,D303110
DB00175,D601367,,,,,,,,D601665
DB00176,D164230,,,,,,,,D137750
DB00177,D161900,,,,,,,,D604416
DB00177,D608622,,,,,,,,D157300
DB00178,D146255,,,,,,,,D178600
DB00178,D161900,,,,,,,,D115000
DB00178,D233100,,,,,,,,D607554
DB00178,D608622,,,,,,,,D608583
DB00179,D106400,,,,,,,,D188050
DB00180,D208550,,,,,,,,D146500
DB00180,D600807,,,,,,,,D157700
DB00181,D126200,,,,,,,,D109350
DB00181,D128101,,,,,,,,D190310
DB00181,D143100,,,,,,,,D600263
DB00181,D147530,,,,,,,,D166300
DB00181,D189600,,,,,,,,D215140
DB00181,D190400,,,,,,,,D600351
DB00181,D601042,,,,,,,,D103780
DB00181,D607225,,,,,,,,D131300
DB00182,D143465,,,,,,,,D182830
