Disease,Protein
D102300,O00470
D102300,P23468
D102300,P01189
D102300,P02787
D102300,Q96Q07
D102400,O75844
D102500,P02788
D102500,P08567
D102500,P30048
D102500,O95622
D102500,P00491
D102500,P43304
D102500,O75844
D102500,P18206
D102500,P31939
D102500,Q01081
D102500,P05231
D102500,P14618
D102500,Q96AH8
D102500,P02675
D102500,O00625
D102500,P00797
D102500,P55809
D102500,Q86T65
D102500,P08123
D102500,P28066
D102500,Q15404
D102500,P25787
D102500,Q99685
D102500,O75197
D102500,P68363
D102500,O75083
D102500,P04406
D102500,P58335
D102500,P11511
D102500,P01137
D102500,Q9Y625
D102500,P78371
D102500,P30988
D102500,P00918
D102500,P02671
D102500,P01270
D102500,P11473
D102500,P04628
D102500,P50479
D102500,Q99497
D102500,P48735
D102500,O14788
D102500,Q01518
D102500,P67936
D102500,Q8IUH4
D102500,P02452
D102500,P06733
D102500,P06396
D102500,O95336
D102500,P07203
D102500,Q9Y490
D102500,Q5T7V8
D102500,O00300
D102500,P07355
D102500,Q9UEF7
D102500,Q9Y240
D102500,Q04721
D102500,P63261
D102500,Q07973
D102500,P01189
D102500,P60174
D102500,P07237
D102500,P04179
D102500,P08887
D102500,Q9UQL6
D103780,Q5T6F2
D103780,O14901
D103780,P04040
D103780,P15328
D103780,P22301
D103780,Q9Y233
D103780,O75019
D103780,P19440
D103780,Q13255
D103780,Q93088
D103780,P00326
D103780,Q05586
D103780,P28476
D103780,P01225
D103780,P22466
D103780,P47869
D103780,Q8WXE9
D103780,P47870
D103780,Q9Y6N8
D103780,P24387
D103780,P28222
D103780,P01133
D103780,P04406
D103780,Q9UQ52
D103780,P48051
D103780,P30532
D103780,P27338
D103780,P05181
D103780,P06307
D103780,Q5VXU1
D103780,Q16445
D103780,Q14289
D103780,P09429
D103780,P27986
D103780,P21673
D103780,P35462
D103780,Q14416
D103780,Q07343
D103780,Q33E94
D103780,P08913
D103780,P30926
D103780,P20366
D103780,Q15053
D103780,Q16552
D103780,P24046
D103780,P00352
D103780,Q99259
D103780,O95817
D103780,Q8N1K5
D103780,Q4KMZ8
D103780,P43694
D103780,Q13003
D103780,P18507
D103780,O00505
D103780,P43004
D103780,P08253
D103780,P30084
D103780,P28335
D103780,P19838
D103780,P14867
D103780,P43681
D103780,P07327
D103780,Q13634
D103780,Q9UQM7
D103780,Q9UM73
D103780,P55289
D103780,P63244
D103780,O14525
D103780,P13591
D103780,P09172
D103780,P31213
D103780,P14550
D103780,P17516
D103780,P11766
D103780,P17752
D103780,P02649
D103780,P12104
D103780,P05231
D103780,Q92576
D103780,P57678
D103780,Q92847
D103780,Q16696
D103780,Q16653
D103780,P00797
D103780,Q9H892
D103780,P26232
D103780,P18440
D103780,P05091
D103780,P01241
D103780,Q93096
D103780,Q16568
D103780,Q14831
D103780,Q9UIG8
D103780,P04275
D103780,P10070
D103780,Q9C0I4
D103780,Q9Y4C0
D103780,P13010
D103780,Q9UBS5
D103780,Q8N1C3
D103780,P43354
D103780,P49589
D103780,P33151
D103780,Q9ULB4
