Drug,Disease
DB00007,D131200
DB00007,D150699
DB00007,D175510
DB00007,D176807
DB00007,D600082
DB00007,D601518
DB00007,D604416
DB00010,D604416
DB00014,D114480
DB00014,D131200
DB00014,D176807
DB00014,D601518
DB00017,D143880
DB00017,D166710
DB00017,D167320
DB00017,D602080
DB00035,D125700
DB00035,D134430
DB00035,D304900
DB00067,D125700
DB00067,D304900
DB00091,D152700
DB00091,D254200
DB00114,D239350
DB00122,D140600
DB00122,D147530
DB00122,D165720
DB00122,D208230
DB00122,D607459
DB00122,D607850
DB00126,D206200
DB00126,D250790
DB00131,D194200
DB00136,D146255
DB00136,D277440
DB00136,D277460
DB00140,D145590
DB00153,D146255
DB00153,D241519
DB00153,D259660
DB00153,D277440
DB00162,D115300
DB00162,D277350
DB00163,D104300
DB00163,D125320
DB00163,D200170
DB00163,D230450
DB00163,D231900
DB00163,D266120
DB00163,D277460
DB00163,D605055
DB00163,D606703
DB00165,D239350
DB00169,D102500
DB00169,D166710
DB00169,D266600
DB00175,D144010
DB00175,D601367
DB00176,D164230
DB00177,D161900
DB00177,D608622
DB00178,D146255
DB00178,D161900
DB00178,D608622
DB00179,D106400
DB00180,D208550
DB00180,D600807
DB00181,D126200
DB00181,D128101
DB00181,D143100
DB00181,D147530
DB00181,D189600
DB00181,D190400
DB00181,D601042
DB00181,D607225
DB00182,D143465
DB00186,D189600
DB00186,D252320
DB00187,D161900
DB00187,D608622
DB00188,D254500
DB00190,D102300
DB00190,D125320
DB00190,D168100
DB00190,D168600
DB00191,D264120
DB00191,D303110
DB00191,D601665
DB00193,D102300
DB00193,D147530
DB00195,D137750
DB00195,D161900
DB00195,D608622
DB00199,D604416
DB00201,D140600
DB00201,D145590
DB00201,D147530
DB00201,D157300
DB00203,D161900
DB00203,D178600
DB00204,D115000
DB00204,D607554
DB00204,D608583
DB00206,D161900
DB00206,D608622
DB00208,D188050
DB00210,D604416
DB00211,D146500
DB00211,D157700
DB00211,D252320
DB00213,D109350
DB00213,D190310
DB00213,D600263
DB00214,D146255
DB00214,D161900
DB00214,D166300
DB00214,D215140
DB00214,D600351
DB00214,D608622
DB00215,D103780
DB00215,D131300
DB00215,D164230
DB00215,D182830
DB00215,D225740
DB00215,D225755
DB00215,D260970
DB00215,D608033
DB00216,D157300
DB00216,D300125
DB00216,D607498
DB00216,D607501
DB00216,D607508
DB00216,D607516
DB00218,D208550
DB00221,D208550
DB00221,D210050
DB00221,D600807
DB00222,D125850
DB00222,D125851
DB00222,D125853
DB00222,D600496
DB00226,D161900
DB00226,D608622
DB00227,D144010
DB00227,D608320
DB00230,D102300
DB00230,D147530
DB00230,D165199
DB00240,D233810
DB00241,D145590
DB00241,D157300
DB00242,D109543
DB00242,D126200
DB00242,D151400
DB00242,D258360
DB00242,D276300
DB00244,D266600
DB00245,D125320
DB00245,D168100
DB00245,D168600
DB00246,D137580
DB00246,D181500
DB00248,D600634
DB00252,D104130
DB00252,D115000
DB00252,D165199
DB00255,D276300
DB00257,D114580
DB00257,D212050
DB00262,D109543
DB00262,D137800
DB00262,D236000
DB00262,D247640
DB00262,D254500
DB00262,D267730
DB00262,D276300
DB00264,D110100
DB00264,D157700
DB00264,D161900
DB00264,D190300
DB00264,D607554
DB00264,D608583
DB00264,D608622
DB00268,D102300
DB00268,D125320
DB00268,D168100
DB00268,D168600
DB00270,D161900
DB00270,D179600
DB00270,D608622
DB00273,D147530
DB00273,D157300
