Drug_ID,Predicted_DTA_S1R,Predicted_DTA_DRD2,Predicted_DTA_BIP,MAX_DTA
DB00014,6.9354159235954285,8.108769237995148,6.903107702732086,8.108769237995148
DB00035,6.897328078746796,7.342530250549316,6.766123533248901,7.342530250549316
DB00091,7.612334132194519,6.957297623157501,7.362408816814423,7.612334132194519
DB00122,5.44541472196579,5.377237915992737,4.891976416110992,5.44541472196579
DB00126,6.003286778926849,5.7631731033325195,5.404942691326141,6.003286778926849
DB00131,5.521890342235565,6.069140911102295,5.317405879497528,6.069140911102295
DB00136,6.938054323196411,5.603396117687225,5.576073706150055,6.938054323196411
DB00140,5.756796658039093,5.7922457456588745,4.820157468318939,5.7922457456588745
DB00153,7.0468191504478455,5.618413805961609,5.803659558296204,7.0468191504478455
DB00162,6.392522633075714,5.433915019035339,5.224142670631409,6.392522633075714
DB00163,6.211916089057922,6.268012821674347,5.393649756908417,6.268012821674347
DB00165,5.286759972572327,5.706581115722656,4.662524402141571,5.706581115722656
DB00169,6.772432208061218,5.74977320432663,5.565862417221069,6.772432208061218
DB00175,6.4569092988967896,5.892960548400879,5.066744923591614,6.4569092988967896
DB00176,5.86266702413559,5.881897389888763,5.106487214565277,5.881897389888763
DB00177,6.2078657746315,5.705884575843811,5.469077825546265,6.2078657746315
DB00178,7.302619516849518,5.7026190757751465,5.948660254478455,7.302619516849518
DB00179,5.812682211399078,5.608510315418243,4.991932272911072,5.812682211399078
DB00180,6.628801345825195,5.729661345481873,5.531486868858337,6.628801345825195
DB00181,6.143459737300873,5.423538625240326,5.001540899276733,6.143459737300873
DB00182,5.916908383369446,5.649097263813019,5.277766108512878,5.916908383369446
DB00186,6.375195920467377,6.23879736661911,5.749205529689789,6.375195920467377
DB00187,6.669980764389038,5.790986120700836,5.87299644947052,6.669980764389038
DB00188,6.097565293312073,5.483429133892059,4.712675213813782,6.097565293312073
DB00190,5.6459099650383,5.565359473228455,4.582506537437439,5.6459099650383
DB00191,5.9339436292648315,5.649178981781006,5.216796100139618,5.9339436292648315
DB00193,6.331596910953522,6.141038477420807,5.435658693313599,6.331596910953522
DB00195,6.658349871635437,6.033241033554077,6.190753757953644,6.658349871635437
DB00199,6.6181594133377075,6.678532779216766,5.709013521671295,6.678532779216766
DB00201,5.875660181045532,5.7962716817855835,5.264886140823364,5.875660181045532
DB00203,6.620592653751373,6.509988486766815,6.6281421184539795,6.6281421184539795
DB00204,6.449563920497894,5.886788368225098,5.896357715129852,6.449563920497894
DB00206,6.924840569496155,6.130909025669098,5.882132291793823,6.924840569496155
DB00208,7.314984440803528,6.1488617062568665,6.160565137863159,7.314984440803528
DB00210,6.550911486148834,6.4993866086006165,6.106414616107941,6.550911486148834
DB00211,5.632918894290924,5.503761172294617,4.8714064955711365,5.632918894290924
DB00213,6.382900774478912,6.0893948674201965,5.731043636798859,6.382900774478912
DB00214,6.190995633602142,5.5607550740242,5.182039320468903,6.190995633602142
DB00215,6.972781419754028,7.1439096331596375,6.961224794387817,7.1439096331596375
DB00216,6.795003950595856,6.376031458377838,6.101559638977051,6.795003950595856
DB00218,5.627890765666962,6.0821996331214905,4.789212584495544,6.0821996331214905
DB00221,6.168700635433197,5.462590754032135,5.220094203948975,6.168700635433197
DB00222,6.447712957859039,5.447938323020935,5.0734416246414185,6.447712957859039
DB00226,6.036414206027985,5.476530373096466,5.320433676242828,6.036414206027985
DB00227,6.019684195518494,6.012236952781677,5.128130376338959,6.019684195518494
DB00230,5.468438744544983,5.2032663226127625,4.36999899148941,5.468438744544983
DB00240,7.607768714427948,6.437999606132507,6.695953369140625,7.607768714427948
DB00241,5.68631637096405,5.538549184799194,4.6454660296440125,5.68631637096405
DB00242,5.746528089046478,6.0438326597213745,5.20556116104126,6.0438326597213745
DB00244,5.4618348479270935,5.185511946678162,4.410508811473846,5.4618348479270935
DB00245,6.3670355677604675,6.225780725479126,6.106905400753021,6.3670355677604675
DB00246,6.884817957878113,7.990632891654968,6.929123222827911,7.990632891654968
DB00248,7.160070240497589,7.461974918842316,6.857017993927002,7.461974918842316
DB00252,6.369605302810669,5.536432147026062,5.436802268028259,6.369605302810669
DB00255,5.714900016784668,5.495046019554138,4.711047947406769,5.714900016784668
DB00257,6.235061705112457,6.16973489522934,5.663818836212158,6.235061705112457
DB00262,6.054543077945709,5.098530173301697,4.690489828586578,6.054543077945709
DB00264,6.848854124546051,5.636922597885132,6.003001391887665,6.848854124546051
DB00268,6.808102190494537,6.208306670188904,6.061678349971771,6.808102190494537
DB00270,6.178667843341827,6.188855707645416,5.616805911064148,6.188855707645416
DB00273,6.116264343261719,5.612601339817047,5.106375157833099,6.116264343261719
DB00275,6.155547678470612,5.864157795906067,4.802935540676117,6.155547678470612
DB00277,6.209574222564697,5.874756038188934,5.674589812755585,6.209574222564697
DB00278,6.266523063182831,7.075185179710388,6.466374099254608,7.075185179710388
DB00279,6.225138783454895,5.625853717327118,5.141840755939484,6.225138783454895
DB00280,5.867069959640503,6.129484057426453,5.217881977558136,6.129484057426453
DB00281,6.340273082256317,5.399424135684967,4.9921082854270935,6.340273082256317
DB00282,5.503290235996246,5.394064784049988,4.5486758053302765,5.503290235996246
DB00284,6.5082255601882935,5.817628920078278,5.719499886035919,6.5082255601882935
DB00285,6.54454493522644,5.684429287910461,5.667478024959564,6.54454493522644
DB00287,7.4648144245147705,7.168576002120972,7.165691137313843,7.4648144245147705
DB00289,6.327721834182739,5.4546791315078735,5.1129849553108215,6.327721834182739
DB00290,7.059986114501953,6.759832322597504,6.016026079654694,7.059986114501953
DB00295,6.015183687210083,5.9890077114105225,5.089119732379913,6.015183687210083
DB00297,6.976821780204773,6.121270775794983,6.283956825733185,6.976821780204773
DB00302,5.61466658115387,5.277587413787842,4.748515546321869,5.61466658115387
DB00304,6.386414408683777,5.960117816925049,5.293661415576935,6.386414408683777
DB00307,5.993842840194702,5.8697367906570435,5.366222977638245,5.993842840194702
DB00308,5.998858451843262,6.068981111049652,5.627693831920624,6.068981111049652
DB00310,6.696906208992004,6.434446930885315,6.156153738498688,6.696906208992004
DB00313,5.596581220626831,5.081705629825592,4.657637000083923,5.596581220626831
DB00315,5.908569753170013,6.564164042472839,5.548344731330872,6.564164042472839
DB00316,6.104194521903992,5.185040056705475,4.938877522945404,6.104194521903992
DB00318,6.1356934905052185,6.426373481750488,5.790086984634399,6.426373481750488
